image_id,split,image_path
10000_AB,train,train/10000_AB.jpg
10001_AB,train,train/10001_AB.jpg
10002_AB,train,train/10002_AB.jpg
10003_AB,train,train/10003_AB.jpg
10004_AB,train,train/10004_AB.jpg
10005_AB,train,train/10005_AB.jpg
10006_AB,train,train/10006_AB.jpg
10007_AB,train,train/10007_AB.jpg
10008_AB,train,train/10008_AB.jpg
10009_AB,train,train/10009_AB.jpg
1000_AB,train,train/1000_AB.jpg
10010_AB,train,train/10010_AB.jpg
10011_AB,train,train/10011_AB.jpg
10012_AB,train,train/10012_AB.jpg
10013_AB,train,train/10013_AB.jpg
10014_AB,train,train/10014_AB.jpg
10015_AB,train,train/10015_AB.jpg
10016_AB,train,train/10016_AB.jpg
10017_AB,train,train/10017_AB.jpg
10018_AB,train,train/10018_AB.jpg
10019_AB,train,train/10019_AB.jpg
1001_AB,train,train/1001_AB.jpg
10020_AB,train,train/10020_AB.jpg
10021_AB,train,train/10021_AB.jpg
10022_AB,train,train/10022_AB.jpg
10023_AB,train,train/10023_AB.jpg
10024_AB,train,train/10024_AB.jpg
10025_AB,train,train/10025_AB.jpg
10026_AB,train,train/10026_AB.jpg
10027_AB,train,train/10027_AB.jpg
10028_AB,train,train/10028_AB.jpg
10029_AB,train,train/10029_AB.jpg
1002_AB,train,train/1002_AB.jpg
10030_AB,train,train/10030_AB.jpg
10031_AB,train,train/10031_AB.jpg
10032_AB,train,train/10032_AB.jpg
10033_AB,train,train/10033_AB.jpg
10034_AB,train,train/10034_AB.jpg
10035_AB,train,train/10035_AB.jpg
10036_AB,train,train/10036_AB.jpg
10037_AB,train,train/10037_AB.jpg
10038_AB,train,train/10038_AB.jpg
10039_AB,train,train/10039_AB.jpg
1003_AB,train,train/1003_AB.jpg
10040_AB,train,train/10040_AB.jpg
10041_AB,train,train/10041_AB.jpg
10042_AB,train,train/10042_AB.jpg
10043_AB,train,train/10043_AB.jpg
10044_AB,train,train/10044_AB.jpg
10045_AB,train,train/10045_AB.jpg
10046_AB,train,train/10046_AB.jpg
10047_AB,train,train/10047_AB.jpg
10048_AB,train,train/10048_AB.jpg
10049_AB,train,train/10049_AB.jpg
1004_AB,train,train/1004_AB.jpg
10050_AB,train,train/10050_AB.jpg
10051_AB,train,train/10051_AB.jpg
10052_AB,train,train/10052_AB.jpg
10053_AB,train,train/10053_AB.jpg
10054_AB,train,train/10054_AB.jpg
10055_AB,train,train/10055_AB.jpg
10056_AB,train,train/10056_AB.jpg
10057_AB,train,train/10057_AB.jpg
10058_AB,train,train/10058_AB.jpg
10059_AB,train,train/10059_AB.jpg
1005_AB,train,train/1005_AB.jpg
10060_AB,train,train/10060_AB.jpg
10061_AB,train,train/10061_AB.jpg
10062_AB,train,train/10062_AB.jpg
10063_AB,train,train/10063_AB.jpg
10064_AB,train,train/10064_AB.jpg
10065_AB,train,train/10065_AB.jpg
10066_AB,train,train/10066_AB.jpg
10067_AB,train,train/10067_AB.jpg
10068_AB,train,train/10068_AB.jpg
10069_AB,train,train/10069_AB.jpg
1006_AB,train,train/1006_AB.jpg
10070_AB,train,train/10070_AB.jpg
10071_AB,train,train/10071_AB.jpg
10072_AB,train,train/10072_AB.jpg
10073_AB,train,train/10073_AB.jpg
10074_AB,train,train/10074_AB.jpg
10075_AB,train,train/10075_AB.jpg
10076_AB,train,train/10076_AB.jpg
10077_AB,train,train/10077_AB.jpg
10078_AB,train,train/10078_AB.jpg
10079_AB,train,train/10079_AB.jpg
1007_AB,train,train/1007_AB.jpg
10080_AB,train,train/10080_AB.jpg
10081_AB,train,train/10081_AB.jpg
10082_AB,train,train/10082_AB.jpg
10083_AB,train,train/10083_AB.jpg
10084_AB,train,train/10084_AB.jpg
10085_AB,train,train/10085_AB.jpg
10086_AB,train,train/10086_AB.jpg
10087_AB,train,train/10087_AB.jpg
10088_AB,train,train/10088_AB.jpg
10089_AB,train,train/10089_AB.jpg
1008_AB,train,train/1008_AB.jpg
10090_AB,train,train/10090_AB.jpg
10091_AB,train,train/10091_AB.jpg
10092_AB,train,train/10092_AB.jpg
10093_AB,train,train/10093_AB.jpg
10094_AB,train,train/10094_AB.jpg
10095_AB,train,train/10095_AB.jpg
10096_AB,train,train/10096_AB.jpg
10097_AB,train,train/10097_AB.jpg
10098_AB,train,train/10098_AB.jpg
10099_AB,train,train/10099_AB.jpg
1009_AB,train,train/1009_AB.jpg
100_AB,val,val/100_AB.jpg
100_AB,train,train/100_AB.jpg
10100_AB,train,train/10100_AB.jpg
10101_AB,train,train/10101_AB.jpg
10102_AB,train,train/10102_AB.jpg
10103_AB,train,train/10103_AB.jpg
10104_AB,train,train/10104_AB.jpg
10105_AB,train,train/10105_AB.jpg
10106_AB,train,train/10106_AB.jpg
10107_AB,train,train/10107_AB.jpg
10108_AB,train,train/10108_AB.jpg
10109_AB,train,train/10109_AB.jpg
1010_AB,train,train/1010_AB.jpg
10110_AB,train,train/10110_AB.jpg
10111_AB,train,train/10111_AB.jpg
10112_AB,train,train/10112_AB.jpg
10113_AB,train,train/10113_AB.jpg
10114_AB,train,train/10114_AB.jpg
10115_AB,train,train/10115_AB.jpg
10116_AB,train,train/10116_AB.jpg
10117_AB,train,train/10117_AB.jpg
10118_AB,train,train/10118_AB.jpg
10119_AB,train,train/10119_AB.jpg
1011_AB,train,train/1011_AB.jpg
10120_AB,train,train/10120_AB.jpg
10121_AB,train,train/10121_AB.jpg
10122_AB,train,train/10122_AB.jpg
10123_AB,train,train/10123_AB.jpg
10124_AB,train,train/10124_AB.jpg
10125_AB,train,train/10125_AB.jpg
10126_AB,train,train/10126_AB.jpg
10127_AB,train,train/10127_AB.jpg
10128_AB,train,train/10128_AB.jpg
10129_AB,train,train/10129_AB.jpg
1012_AB,train,train/1012_AB.jpg
10130_AB,train,train/10130_AB.jpg
10131_AB,train,train/10131_AB.jpg
10132_AB,train,train/10132_AB.jpg
10133_AB,train,train/10133_AB.jpg
10134_AB,train,train/10134_AB.jpg
10135_AB,train,train/10135_AB.jpg
10136_AB,train,train/10136_AB.jpg
10137_AB,train,train/10137_AB.jpg
10138_AB,train,train/10138_AB.jpg
10139_AB,train,train/10139_AB.jpg
1013_AB,train,train/1013_AB.jpg
10140_AB,train,train/10140_AB.jpg
10141_AB,train,train/10141_AB.jpg
10142_AB,train,train/10142_AB.jpg
10143_AB,train,train/10143_AB.jpg
10144_AB,train,train/10144_AB.jpg
10145_AB,train,train/10145_AB.jpg
10146_AB,train,train/10146_AB.jpg
10147_AB,train,train/10147_AB.jpg
10148_AB,train,train/10148_AB.jpg
10149_AB,train,train/10149_AB.jpg
1014_AB,train,train/1014_AB.jpg
10150_AB,train,train/10150_AB.jpg
10151_AB,train,train/10151_AB.jpg
10152_AB,train,train/10152_AB.jpg
10153_AB,train,train/10153_AB.jpg
10154_AB,train,train/10154_AB.jpg
10155_AB,train,train/10155_AB.jpg
10156_AB,train,train/10156_AB.jpg
10157_AB,train,train/10157_AB.jpg
10158_AB,train,train/10158_AB.jpg
10159_AB,train,train/10159_AB.jpg
1015_AB,train,train/1015_AB.jpg
10160_AB,train,train/10160_AB.jpg
10161_AB,train,train/10161_AB.jpg
10162_AB,train,train/10162_AB.jpg
10163_AB,train,train/10163_AB.jpg
10164_AB,train,train/10164_AB.jpg
10165_AB,train,train/10165_AB.jpg
10166_AB,train,train/10166_AB.jpg
10167_AB,train,train/10167_AB.jpg
10168_AB,train,train/10168_AB.jpg
10169_AB,train,train/10169_AB.jpg
1016_AB,train,train/1016_AB.jpg
10170_AB,train,train/10170_AB.jpg
10171_AB,train,train/10171_AB.jpg
10172_AB,train,train/10172_AB.jpg
10173_AB,train,train/10173_AB.jpg
10174_AB,train,train/10174_AB.jpg
10175_AB,train,train/10175_AB.jpg
10176_AB,train,train/10176_AB.jpg
10177_AB,train,train/10177_AB.jpg
10178_AB,train,train/10178_AB.jpg
10179_AB,train,train/10179_AB.jpg
1017_AB,train,train/1017_AB.jpg
10180_AB,train,train/10180_AB.jpg
10181_AB,train,train/10181_AB.jpg
10182_AB,train,train/10182_AB.jpg
10183_AB,train,train/10183_AB.jpg
10184_AB,train,train/10184_AB.jpg
10185_AB,train,train/10185_AB.jpg
10186_AB,train,train/10186_AB.jpg
10187_AB,train,train/10187_AB.jpg
10188_AB,train,train/10188_AB.jpg
10189_AB,train,train/10189_AB.jpg
1018_AB,train,train/1018_AB.jpg
10190_AB,train,train/10190_AB.jpg
10191_AB,train,train/10191_AB.jpg
10192_AB,train,train/10192_AB.jpg
10193_AB,train,train/10193_AB.jpg
10194_AB,train,train/10194_AB.jpg
10195_AB,train,train/10195_AB.jpg
10196_AB,train,train/10196_AB.jpg
10197_AB,train,train/10197_AB.jpg
10198_AB,train,train/10198_AB.jpg
10199_AB,train,train/10199_AB.jpg
1019_AB,train,train/1019_AB.jpg
101_AB,val,val/101_AB.jpg
101_AB,train,train/101_AB.jpg
10200_AB,train,train/10200_AB.jpg
10201_AB,train,train/10201_AB.jpg
10202_AB,train,train/10202_AB.jpg
10203_AB,train,train/10203_AB.jpg
10204_AB,train,train/10204_AB.jpg
10205_AB,train,train/10205_AB.jpg
10206_AB,train,train/10206_AB.jpg
10207_AB,train,train/10207_AB.jpg
10208_AB,train,train/10208_AB.jpg
10209_AB,train,train/10209_AB.jpg
1020_AB,train,train/1020_AB.jpg
10210_AB,train,train/10210_AB.jpg
10211_AB,train,train/10211_AB.jpg
10212_AB,train,train/10212_AB.jpg
10213_AB,train,train/10213_AB.jpg
10214_AB,train,train/10214_AB.jpg
10215_AB,train,train/10215_AB.jpg
10216_AB,train,train/10216_AB.jpg
10217_AB,train,train/10217_AB.jpg
10218_AB,train,train/10218_AB.jpg
10219_AB,train,train/10219_AB.jpg
1021_AB,train,train/1021_AB.jpg
10220_AB,train,train/10220_AB.jpg
10221_AB,train,train/10221_AB.jpg
10222_AB,train,train/10222_AB.jpg
10223_AB,train,train/10223_AB.jpg
10224_AB,train,train/10224_AB.jpg
10225_AB,train,train/10225_AB.jpg
10226_AB,train,train/10226_AB.jpg
10227_AB,train,train/10227_AB.jpg
10228_AB,train,train/10228_AB.jpg
10229_AB,train,train/10229_AB.jpg
1022_AB,train,train/1022_AB.jpg
10230_AB,train,train/10230_AB.jpg
10231_AB,train,train/10231_AB.jpg
10232_AB,train,train/10232_AB.jpg
10233_AB,train,train/10233_AB.jpg
10234_AB,train,train/10234_AB.jpg
10235_AB,train,train/10235_AB.jpg
10236_AB,train,train/10236_AB.jpg
10237_AB,train,train/10237_AB.jpg
10238_AB,train,train/10238_AB.jpg
10239_AB,train,train/10239_AB.jpg
1023_AB,train,train/1023_AB.jpg
10240_AB,train,train/10240_AB.jpg
10241_AB,train,train/10241_AB.jpg
10242_AB,train,train/10242_AB.jpg
10243_AB,train,train/10243_AB.jpg
10244_AB,train,train/10244_AB.jpg
10245_AB,train,train/10245_AB.jpg
10246_AB,train,train/10246_AB.jpg
10247_AB,train,train/10247_AB.jpg
10248_AB,train,train/10248_AB.jpg
10249_AB,train,train/10249_AB.jpg
1024_AB,train,train/1024_AB.jpg
10250_AB,train,train/10250_AB.jpg
10251_AB,train,train/10251_AB.jpg
10252_AB,train,train/10252_AB.jpg
10253_AB,train,train/10253_AB.jpg
10254_AB,train,train/10254_AB.jpg
10255_AB,train,train/10255_AB.jpg
10256_AB,train,train/10256_AB.jpg
10257_AB,train,train/10257_AB.jpg
10258_AB,train,train/10258_AB.jpg
10259_AB,train,train/10259_AB.jpg
1025_AB,train,train/1025_AB.jpg
10260_AB,train,train/10260_AB.jpg
10261_AB,train,train/10261_AB.jpg
10262_AB,train,train/10262_AB.jpg
10263_AB,train,train/10263_AB.jpg
10264_AB,train,train/10264_AB.jpg
10265_AB,train,train/10265_AB.jpg
10266_AB,train,train/10266_AB.jpg
10267_AB,train,train/10267_AB.jpg
10268_AB,train,train/10268_AB.jpg
10269_AB,train,train/10269_AB.jpg
1026_AB,train,train/1026_AB.jpg
10270_AB,train,train/10270_AB.jpg
10271_AB,train,train/10271_AB.jpg
10272_AB,train,train/10272_AB.jpg
10273_AB,train,train/10273_AB.jpg
10274_AB,train,train/10274_AB.jpg
10275_AB,train,train/10275_AB.jpg
10276_AB,train,train/10276_AB.jpg
10277_AB,train,train/10277_AB.jpg
10278_AB,train,train/10278_AB.jpg
10279_AB,train,train/10279_AB.jpg
1027_AB,train,train/1027_AB.jpg
10280_AB,train,train/10280_AB.jpg
10281_AB,train,train/10281_AB.jpg
10282_AB,train,train/10282_AB.jpg
10283_AB,train,train/10283_AB.jpg
10284_AB,train,train/10284_AB.jpg
10285_AB,train,train/10285_AB.jpg
10286_AB,train,train/10286_AB.jpg
10287_AB,train,train/10287_AB.jpg
10288_AB,train,train/10288_AB.jpg
10289_AB,train,train/10289_AB.jpg
1028_AB,train,train/1028_AB.jpg
10290_AB,train,train/10290_AB.jpg
10291_AB,train,train/10291_AB.jpg
